Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
The Weeknd,Blinding Lights,446.0,1,82,2169,"8,453,567","5,037,607,641"
Ed Sheeran,Shape of You,237.0,1,98,2689,"9,878,194","4,038,423,854"
Harry Styles,As It Was,426.0,1,81,1272,"16,103,849","3,999,274,385"
Lewis Capaldi,Someone You Loved,107.0,4,1,2371,"3,974,554","3,880,912,658"
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,213.0,1,16,2263,"5,033,261","3,554,729,660"
The Neighbourhood,Sweater Weather,,12,1,1988,"3,342,205","3,532,412,627"
The Weeknd,Starboy,145.0,1,40,1963,"5,125,218","3,385,509,594"
Ed Sheeran,Perfect,102.0,3,1,2944,"3,690,839","3,372,839,991"
Billie Eilish,lovely,,19,1,2693,"2,085,328","3,361,281,502"
Imagine Dragons,Believer,,15,1,2945,"2,572,100","3,304,313,339"
The Kid LAROI,Stay,299.0,1,84,1232,"10,629,302","3,271,261,658"
Billie Eilish,BIRDS OF A FEATHER,477.0,1,25,542,"10,082,989","3,155,270,260"
Lady Gaga,Die With A Smile,406.0,1,201,451,"11,621,474","3,086,803,666"
Glass Animals,Heat Waves,258.0,1,65,1358,"5,003,951","3,000,920,519"
Drake,One Dance,187.0,1,101,2003,"7,196,287","2,888,284,842"
Arctic Monkeys,I Wanna Be Yours,,11,1,1222,"3,186,952","2,873,518,061"
Tom Odell,Another Love,,11,1,1668,"3,052,832","2,856,685,034"
Coldplay,Yellow,,15,1,1777,"3,078,369","2,656,120,736"
Taylor Swift,Cruel Summer,257.0,2,18,976,"5,405,688","2,654,773,625"
Harry Styles,Watermelon Sugar,127.0,4,1,1562,"4,321,515","2,596,179,813"
Sabrina Carpenter,Espresso,224.0,1,32,577,"11,692,253","2,594,356,908"
James Arthur,Say You Won't Let Go,97.0,6,1,2483,"2,817,950","2,591,662,993"
Benson Boone,Beautiful Things,218.0,1,35,661,"9,256,894","2,554,181,027"
Tones And I,Dance Monkey,286.0,1,120,1048,"8,928,593","2,508,984,101"
Vance Joy,Riptide,,16,1,2456,"2,526,786","2,465,077,925"
Miley Cyrus,Flowers,179.0,1,82,806,"18,424,325","2,460,610,582"
The Chainsmokers,Something Just Like This,86.0,2,14,1977,"4,937,390","2,425,215,152"
Jung Kook,Seven,153.0,1,71,849,"17,902,017","2,418,823,092"
The Weeknd,Die For You,2.0,9,1,1408,"3,554,197","2,418,344,029"
SZA,Kill Bill,174.0,1,20,848,"8,455,200","2,414,898,521"
Lord Huron,The Night We Met,,15,1,1196,"3,221,586","2,226,242,952"
OneRepublic,Counting Stars,,31,1,2371,"1,717,699","2,201,686,041"
The Weeknd,One Of The Girls,80.0,2,2,764,"5,073,947","2,139,416,702"
The Chainsmokers,Closer,191.0,1,82,1696,"6,875,523","2,123,412,841"
Dua Lipa,Don't Start Now,235.0,2,7,1152,"6,100,930","2,095,889,464"
Teddy Swims,Lose Control,57.0,5,1,725,"5,154,184","2,074,907,379"
Hozier,Take Me To Church,139.0,1,30,2150,"2,140,282","2,066,325,400"
Post Malone,rockstar,185.0,1,114,1208,"7,156,650","2,052,310,834"
ROSÉ,APT.,251.0,1,28,388,"14,596,132","2,048,147,692"
Shawn Mendes,Señorita,170.0,1,102,1021,"9,936,178","2,046,655,077"
